WEEK,DAY,DATE,TIME,TEAM_AWAY,TEAM_HOME,OVERUNDER,ODDS_HOME
WEEK 7,SUN,2021-10-24,1:00,CIN,BAL,45.5,-6.5
WEEK 7,SUN,2021-10-24,1:00,WAS,GB,48,-8.5
WEEK 7,SUN,2021-10-24,1:00,ATL,MIA,48.5,-1.5
WEEK 7,SUN,2021-10-24,1:00,NYJ,NE,43,-7
WEEK 7,SUN,2021-10-24,1:00,CAR,NYG,42.5,-3
WEEK 7,SUN,2021-10-24,1:00,KC,TEN,57.5,-4
WEEK 7,SUN,2021-10-24,4:05,DET,LA,51,-16
WEEK 7,SUN,2021-10-24,4:05,PHI,LV,48.5,-2.5
WEEK 7,SUN,2021-10-24,4:25,HOU,ARI,47,-18
WEEK 7,SUN,2021-10-24,4:25,CHI,TB,47,-13
WEEK 7,SUN,2021-10-24,8:20,IND,SF,42.5,-4
WEEK 7,MON,2021-10-25,8:15,NO,SEA,43,-4
WEEK 8,THU,2021-10-28,8:20,GB,ARI,,0
WEEK 8,SUN,2021-10-31,1:00,CAR,ATL,,0
WEEK 8,SUN,2021-10-31,1:00,MIA,BUF,,0
WEEK 8,SUN,2021-10-31,1:00,SF,CHI,,0
WEEK 8,SUN,2021-10-31,1:00,PIT,CLE,,0
WEEK 8,SUN,2021-10-31,1:00,PHI,DET,,0
WEEK 8,SUN,2021-10-31,1:00,LA,HOU,,0
WEEK 8,SUN,2021-10-31,1:00,TEN,IND,,0
WEEK 8,SUN,2021-10-31,1:00,CIN,NYJ,,0
WEEK 8,SUN,2021-10-31,4:05,NE,LAC,,0
WEEK 8,SUN,2021-10-31,4:05,JAX,SEA,,0
WEEK 8,SUN,2021-10-31,4:25,WAS,DEN,,0
WEEK 8,SUN,2021-10-31,4:25,TB,NO,,0
WEEK 8,SUN,2021-10-31,8:20,DAL,MIN,,0
WEEK 8,MON,2021-11-01,8:15,NYG,KC,,0
WEEK 9,THU,2021-11-04,8:20,NYJ,IND,,0
WEEK 9,SUN,2021-11-07,1:00,MIN,BAL,,0
WEEK 9,SUN,2021-11-07,1:00,NE,CAR,,0
WEEK 9,SUN,2021-11-07,1:00,CLE,CIN,,0
WEEK 9,SUN,2021-11-07,1:00,DEN,DAL,,0
WEEK 9,SUN,2021-11-07,1:00,BUF,JAX,,0
WEEK 9,SUN,2021-11-07,1:00,HOU,MIA,,0
WEEK 9,SUN,2021-11-07,1:00,ATL,NO,,0
WEEK 9,SUN,2021-11-07,1:00,LV,NYG,,0
WEEK 9,SUN,2021-11-07,4:05,LAC,PHI,,0
WEEK 9,SUN,2021-11-07,4:25,GB,KC,,0
WEEK 9,SUN,2021-11-07,4:25,ARI,SF,,0
WEEK 9,SUN,2021-11-07,8:20,TEN,LA,,0
WEEK 9,MON,2021-11-08,8:15,CHI,PIT,,0
WEEK 10,THU,2021-11-11,8:20,BAL,MIA,,0
WEEK 10,SUN,2021-11-14,1:00,ATL,DAL,,0
WEEK 10,SUN,2021-11-14,1:00,JAX,IND,,0
WEEK 10,SUN,2021-11-14,1:00,CLE,NE,,0
WEEK 10,SUN,2021-11-14,1:00,BUF,NYJ,,0
WEEK 10,SUN,2021-11-14,1:00,DET,PIT,,0
WEEK 10,SUN,2021-11-14,1:00,NO,TEN,,0
WEEK 10,SUN,2021-11-14,1:00,TB,WAS,,0
WEEK 10,SUN,2021-11-14,4:05,CAR,ARI,,0
WEEK 10,SUN,2021-11-14,4:05,MIN,LAC,,0
WEEK 10,SUN,2021-11-14,4:25,PHI,DEN,,0
WEEK 10,SUN,2021-11-14,4:25,SEA,GB,,0
WEEK 10,SUN,2021-11-14,8:20,KC,LV,,0
WEEK 10,MON,2021-11-15,8:15,LA,SF,,0
WEEK 11,THU,2021-11-18,8:20,NE,ATL,,0
WEEK 11,SUN,2021-11-21,1:00,IND,BUF,,0
WEEK 11,SUN,2021-11-21,1:00,WAS,CAR,,0
WEEK 11,SUN,2021-11-21,1:00,BAL,CHI,,0
WEEK 11,SUN,2021-11-21,1:00,DET,CLE,,0
WEEK 11,SUN,2021-11-21,1:00,SF,JAX,,0
WEEK 11,SUN,2021-11-21,1:00,GB,MIN,,0
WEEK 11,SUN,2021-11-21,1:00,MIA,NYJ,,0
WEEK 11,SUN,2021-11-21,1:00,NO,PHI,,0
WEEK 11,SUN,2021-11-21,1:00,HOU,TEN,,0
WEEK 11,SUN,2021-11-21,4:05,CIN,LV,,0
WEEK 11,SUN,2021-11-21,4:25,DAL,KC,,0
WEEK 11,SUN,2021-11-21,4:25,ARI,SEA,,0
WEEK 11,SUN,2021-11-21,8:20,PIT,LAC,,0
WEEK 11,MON,2021-11-22,8:15,NYG,TB,,0
WEEK 12,THU,2021-11-25,12:30,CHI,DET,,0
WEEK 12,THU,2021-11-25,4:30,LV,DAL,,0
WEEK 12,THU,2021-11-25,8:20,BUF,NO,,0
WEEK 12,SUN,2021-11-28,1:00,PIT,CIN,,0
WEEK 12,SUN,2021-11-28,1:00,NYJ,HOU,,0
WEEK 12,SUN,2021-11-28,1:00,TB,IND,,0
WEEK 12,SUN,2021-11-28,1:00,ATL,JAX,,0
WEEK 12,SUN,2021-11-28,1:00,CAR,MIA,,0
WEEK 12,SUN,2021-11-28,1:00,TEN,NE,,0
WEEK 12,SUN,2021-11-28,1:00,PHI,NYG,,0
WEEK 12,SUN,2021-11-28,4:05,LAC,DEN,,0
WEEK 12,SUN,2021-11-28,4:25,LA,GB,,0
WEEK 12,SUN,2021-11-28,4:25,MIN,SF,,0
WEEK 12,SUN,2021-11-28,8:20,CLE,BAL,,0
WEEK 12,MON,2021-11-29,8:15,SEA,WAS,,0
WEEK 13,THU,2021-12-02,8:20,DAL,NO,,0
WEEK 13,SUN,2021-12-05,1:00,TB,ATL,,0
WEEK 13,SUN,2021-12-05,1:00,ARI,CHI,,0
WEEK 13,SUN,2021-12-05,1:00,LAC,CIN,,0
WEEK 13,SUN,2021-12-05,1:00,MIN,DET,,0
WEEK 13,SUN,2021-12-05,1:00,IND,HOU,,0
WEEK 13,SUN,2021-12-05,1:00,DEN,KC,,0
WEEK 13,SUN,2021-12-05,1:00,NYG,MIA,,0
WEEK 13,SUN,2021-12-05,1:00,PHI,NYJ,,0
WEEK 13,SUN,2021-12-05,4:05,WAS,LV,,0
WEEK 13,SUN,2021-12-05,4:25,JAX,LA,,0
WEEK 13,SUN,2021-12-05,4:25,BAL,PIT,,0
WEEK 13,SUN,2021-12-05,8:20,SF,SEA,,0
WEEK 13,MON,2021-12-06,8:15,NE,BUF,,0
WEEK 14,THU,2021-12-09,8:20,PIT,MIN,,0
WEEK 14,SUN,2021-12-12,1:00,ATL,CAR,,0
WEEK 14,SUN,2021-12-12,1:00,SF,CIN,,0
WEEK 14,SUN,2021-12-12,1:00,BAL,CLE,,0
WEEK 14,SUN,2021-12-12,1:00,SEA,HOU,,0
WEEK 14,SUN,2021-12-12,1:00,LV,KC,,0
WEEK 14,SUN,2021-12-12,1:00,NO,NYJ,,0
WEEK 14,SUN,2021-12-12,1:00,JAX,TEN,,0
WEEK 14,SUN,2021-12-12,1:00,DAL,WAS,,0
WEEK 14,SUN,2021-12-12,4:05,DET,DEN,,0
WEEK 14,SUN,2021-12-12,4:05,NYG,LAC,,0
WEEK 14,SUN,2021-12-12,4:25,BUF,TB,,0
WEEK 14,SUN,2021-12-12,8:20,CHI,GB,,0
WEEK 14,MON,2021-12-13,8:15,LA,ARI,,0
WEEK 15,THU,2021-12-16,8:20,KC,LAC,,0
WEEK 15,SUN,2021-12-19,1:00,GB,BAL,,0
WEEK 15,SUN,2021-12-19,1:00,CAR,BUF,,0
WEEK 15,SUN,2021-12-19,1:00,LV,CLE,,0
WEEK 15,SUN,2021-12-19,1:00,ARI,DET,,0
WEEK 15,SUN,2021-12-19,1:00,NE,IND,,0
WEEK 15,SUN,2021-12-19,1:00,HOU,JAX,,0
WEEK 15,SUN,2021-12-19,1:00,NYJ,MIA,,0
WEEK 15,SUN,2021-12-19,1:00,DAL,NYG,,0
WEEK 15,SUN,2021-12-19,1:00,WAS,PHI,,0
WEEK 15,SUN,2021-12-19,1:00,TEN,PIT,,0
WEEK 15,SUN,2021-12-19,4:05,CIN,DEN,,0
WEEK 15,SUN,2021-12-19,4:05,ATL,SF,,0
WEEK 15,SUN,2021-12-19,4:25,SEA,LA,,0
WEEK 15,SUN,2021-12-19,8:20,NO,TB,,0
WEEK 15,MON,2021-12-20,8:15,MIN,CHI,,0
WEEK 16,THU,2021-12-23,8:20,SF,TEN,,0
WEEK 16,SAT,2021-12-25,4:30,CLE,GB,,0
WEEK 16,SAT,2021-12-25,8:15,IND,ARI,,0
WEEK 16,SUN,2021-12-26,1:00,DET,ATL,,0
WEEK 16,SUN,2021-12-26,1:00,TB,CAR,,0
WEEK 16,SUN,2021-12-26,1:00,BAL,CIN,,0
WEEK 16,SUN,2021-12-26,1:00,LAC,HOU,,0
WEEK 16,SUN,2021-12-26,1:00,LA,MIN,,0
WEEK 16,SUN,2021-12-26,1:00,BUF,NE,,0
WEEK 16,SUN,2021-12-26,1:00,JAX,NYJ,,0
WEEK 16,SUN,2021-12-26,1:00,NYG,PHI,,0
WEEK 16,SUN,2021-12-26,4:05,CHI,SEA,,0
WEEK 16,SUN,2021-12-26,4:25,PIT,KC,,0
WEEK 16,SUN,2021-12-26,4:25,DEN,LV,,0
WEEK 16,SUN,2021-12-26,8:20,WAS,DAL,,0
WEEK 16,MON,2021-12-27,8:15,MIA,NO,,0
